"Alue","Tieluokka","Vuosi","Tiepituus"
"MA1 MANNER-SUOMI","Yhteensä","2025",77828
"MK01 Uusimaa","Yhteensä","2025",4546
"  Espoo","Yhteensä","2025",156
"  Helsinki","Yhteensä","2025",76
"  Hyvinkää","Yhteensä","2025",167
"  Järvenpää","Yhteensä","2025",30
"  Karkkila","Yhteensä","2025",111
"  Kauniainen","Yhteensä","2025",2
"  Kerava","Yhteensä","2025",24
"  Kirkkonummi","Yhteensä","2025",188
"  Lohja","Yhteensä","2025",519
"  Mäntsälä","Yhteensä","2025",323
"  Nurmijärvi","Yhteensä","2025",262
"  Pornainen","Yhteensä","2025",58
"  Sipoo","Yhteensä","2025",190
"  Siuntio","Yhteensä","2025",113
"  Tuusula","Yhteensä","2025",148
"  Vantaa","Yhteensä","2025",131
"  Vihti","Yhteensä","2025",293
"  Lapinjärvi","Yhteensä","2025",136
"  Loviisa","Yhteensä","2025",357
"  Askola","Yhteensä","2025",121
"  Myrskylä","Yhteensä","2025",84
"  Porvoo","Yhteensä","2025",310
"  Pukkila","Yhteensä","2025",64
"  Hanko","Yhteensä","2025",52
"  Inkoo","Yhteensä","2025",145
"  Raasepori","Yhteensä","2025",483
"MK02 Varsinais-Suomi","Yhteensä","2025",4756
"  Aura","Yhteensä","2025",57
"  Koski Tl","Yhteensä","2025",84
"  Loimaa","Yhteensä","2025",426
"  Marttila","Yhteensä","2025",74
"  Oripää","Yhteensä","2025",70
"  Pöytyä","Yhteensä","2025",336
"  Salo","Yhteensä","2025",890
"  Somero","Yhteensä","2025",280
"  Kaarina","Yhteensä","2025",108
"  Lieto","Yhteensä","2025",192
"  Masku","Yhteensä","2025",113
"  Mynämäki","Yhteensä","2025",214
"  Naantali","Yhteensä","2025",102
"  Nousiainen","Yhteensä","2025",122
"  Paimio","Yhteensä","2025",128
"  Raisio","Yhteensä","2025",33
"  Rusko","Yhteensä","2025",55
"  Sauvo","Yhteensä","2025",106
"  Turku","Yhteensä","2025",109
"  Kustavi","Yhteensä","2025",78
"  Laitila","Yhteensä","2025",229
"  Pyhäranta","Yhteensä","2025",56
"  Taivassalo","Yhteensä","2025",69
"  Uusikaupunki","Yhteensä","2025",223
"Vehmaa","Yhteensä","2025",95
"  Kemiönsaari","Yhteensä","2025",220
"  Parainen","Yhteensä","2025",289
"MK05 Kanta-Häme","Yhteensä","2025",2224
"  Forssa","Yhteensä","2025",112
"  Humppila","Yhteensä","2025",70
"  Jokioinen","Yhteensä","2025",118
"  Tammela","Yhteensä","2025",229
"  Ypäjä","Yhteensä","2025",94
"  Hattula","Yhteensä","2025",142
"  Hämeenlinna","Yhteensä","2025",717
"  Janakkala","Yhteensä","2025",265
"  Hausjärvi","Yhteensä","2025",175
"  Loppi","Yhteensä","2025",233
"  Riihimäki","Yhteensä","2025",70
"MK07 Päijät-Häme","Yhteensä","2025",2463
"  Asikkala","Yhteensä","2025",225
"  Hartola","Yhteensä","2025",217
"  Heinola","Yhteensä","2025",260
"  Hollola","Yhteensä","2025",368
"  Iitti","Yhteensä","2025",239
"  Kärkölä","Yhteensä","2025",120
"  Lahti","Yhteensä","2025",244
"  Orimattila","Yhteensä","2025",359
"  Padasjoki","Yhteensä","2025",195
"  Sysmä","Yhteensä","2025",235
"MK08 Kymenlaakso","Yhteensä","2025",1759
"  Hamina","Yhteensä","2025",222
"  Kotka","Yhteensä","2025",104
"  Miehikkälä","Yhteensä","2025",134
"  Pyhtää","Yhteensä","2025",145
"  Virolahti","Yhteensä","2025",171
"  Kouvola","Yhteensä","2025",982
"MK09 Etelä-Karjala","Yhteensä","2025",2133
"  Imatra","Yhteensä","2025",64
"  Parikkala","Yhteensä","2025",284
"  Rautjärvi","Yhteensä","2025",186
"  Ruokolahti","Yhteensä","2025",294
"  Lappeenranta","Yhteensä","2025",625
"  Lemi","Yhteensä","2025",88
"  Luumäki","Yhteensä","2025",260
"  Savitaipale","Yhteensä","2025",205
"  Taipalsaari","Yhteensä","2025",127
"MK04 Satakunta","Yhteensä","2025",3153
"  Jämijärvi","Yhteensä","2025",94
"  Kankaanpää","Yhteensä","2025",340
"  Karvia","Yhteensä","2025",169
"  Siikainen","Yhteensä","2025",125
"  Harjavalta","Yhteensä","2025",55
"  Huittinen","Yhteensä","2025",300
"  Kokemäki","Yhteensä","2025",232
"  Merikarvia","Yhteensä","2025",166
"  Nakkila","Yhteensä","2025",93
"  Pomarkku","Yhteensä","2025",100
"  Pori","Yhteensä","2025",461
"  Ulvila","Yhteensä","2025",159
"  Eura","Yhteensä","2025",252
"  Eurajoki","Yhteensä","2025",205
"  Rauma","Yhteensä","2025",199
"  Säkylä","Yhteensä","2025",203
"MK06 Pirkanmaa","Yhteensä","2025",5228
"  Akaa","Yhteensä","2025",152
"  Urjala","Yhteensä","2025",206
"  Valkeakoski","Yhteensä","2025",148
"  Punkalaidun","Yhteensä","2025",154
"  Sastamala","Yhteensä","2025",698
"  Ikaalinen","Yhteensä","2025",236
"  Kihniö","Yhteensä","2025",123
"  Parkano","Yhteensä","2025",256
"  Hämeenkyrö","Yhteensä","2025",252
"  Kangasala","Yhteensä","2025",299
"  Kuhmoinen","Yhteensä","2025",196
"  Lempäälä","Yhteensä","2025",137
"  Nokia","Yhteensä","2025",154
"  Orivesi","Yhteensä","2025",320
"  Pirkkala","Yhteensä","2025",37
"  Pälkäne","Yhteensä","2025",237
"  Tampere","Yhteensä","2025",222
"  Vesilahti","Yhteensä","2025",115
"  Ylöjärvi","Yhteensä","2025",371
"  Juupajoki","Yhteensä","2025",113
"  Mänttä-Vilppula","Yhteensä","2025",196
"  Ruovesi","Yhteensä","2025",239
"  Virrat","Yhteensä","2025",367
"MK13 Keski-Suomi","Yhteensä","2025",5107
"  Joutsa","Yhteensä","2025",266
