"Kunta","Majoitusliikkeen tyyppi","Vuoteet, lkm 2025*"
"KOKO MAA","Kaikki majoitusliikkeet",190809
"Akaa","Kaikki majoitusliikkeet",.
"Alajärvi","Kaikki majoitusliikkeet",.
"Alavieska","Kaikki majoitusliikkeet",.
"Alavus","Kaikki majoitusliikkeet",324
"Asikkala","Kaikki majoitusliikkeet",776
"Aura","Kaikki majoitusliikkeet",.
"Brändö","Kaikki majoitusliikkeet",257
"Eckerö","Kaikki majoitusliikkeet",899
"Enonkoski","Kaikki majoitusliikkeet",.
"Enontekiö","Kaikki majoitusliikkeet",1376
"Espoo","Kaikki majoitusliikkeet",3966
"Eura","Kaikki majoitusliikkeet",.
"Eurajoki","Kaikki majoitusliikkeet",.
"Evijärvi","Kaikki majoitusliikkeet",.
"Finström","Kaikki majoitusliikkeet",380
"Forssa","Kaikki majoitusliikkeet",196
"Föglö","Kaikki majoitusliikkeet",.
"Geta","Kaikki majoitusliikkeet",228
"Haapajärvi","Kaikki majoitusliikkeet",.
"Haapavesi","Kaikki majoitusliikkeet",.
"Hailuoto","Kaikki majoitusliikkeet",.
"Halsua","Kaikki majoitusliikkeet",.
"Hamina","Kaikki majoitusliikkeet",163
"Hammarland","Kaikki majoitusliikkeet",142
"Hankasalmi","Kaikki majoitusliikkeet",.
"Hanko","Kaikki majoitusliikkeet",546
"Harjavalta","Kaikki majoitusliikkeet",.
"Hartola","Kaikki majoitusliikkeet",154
"Hattula","Kaikki majoitusliikkeet",.
"Heinola","Kaikki majoitusliikkeet",2612
"Heinävesi","Kaikki majoitusliikkeet",278
"Helsinki","Kaikki majoitusliikkeet",27771
"Hirvensalmi","Kaikki majoitusliikkeet",.
"Hollola","Kaikki majoitusliikkeet",307
"Huittinen","Kaikki majoitusliikkeet",.
"Humppila","Kaikki majoitusliikkeet",.
"Hyrynsalmi","Kaikki majoitusliikkeet",.
"Hyvinkää","Kaikki majoitusliikkeet",.
"Hämeenkyrö","Kaikki majoitusliikkeet",.
"Hämeenlinna","Kaikki majoitusliikkeet",1564
"Ii","Kaikki majoitusliikkeet",131
"Iisalmi","Kaikki majoitusliikkeet",555
"Iitti","Kaikki majoitusliikkeet",210
"Ikaalinen","Kaikki majoitusliikkeet",594
"Ilmajoki","Kaikki majoitusliikkeet",.
"Ilomantsi","Kaikki majoitusliikkeet",230
"Imatra","Kaikki majoitusliikkeet",1631
"Inari","Kaikki majoitusliikkeet",5845
"Inkoo","Kaikki majoitusliikkeet",.
"Isojoki","Kaikki majoitusliikkeet",.
"Isokyrö","Kaikki majoitusliikkeet",83
"Janakkala","Kaikki majoitusliikkeet",167
"Joensuu","Kaikki majoitusliikkeet",1526
"Jomala","Kaikki majoitusliikkeet",91
"Joroinen","Kaikki majoitusliikkeet",.
"Joutsa","Kaikki majoitusliikkeet",77
"Juuka","Kaikki majoitusliikkeet",145
"Juupajoki","Kaikki majoitusliikkeet",.
"Juva","Kaikki majoitusliikkeet",.
"Jyväskylä","Kaikki majoitusliikkeet",3539
"Jämijärvi","Kaikki majoitusliikkeet",81
"Jämsä","Kaikki majoitusliikkeet",4517
"Järvenpää","Kaikki majoitusliikkeet",.
"Kaarina","Kaikki majoitusliikkeet",133
"Kaavi","Kaikki majoitusliikkeet",.
"Kajaani","Kaikki majoitusliikkeet",746
"Kalajoki","Kaikki majoitusliikkeet",2940
"Kangasala","Kaikki majoitusliikkeet",138
"Kangasniemi","Kaikki majoitusliikkeet",.
"Kankaanpää","Kaikki majoitusliikkeet",268
"Kannonkoski","Kaikki majoitusliikkeet",.
"Kannus","Kaikki majoitusliikkeet",.
"Karkkila","Kaikki majoitusliikkeet",.
"Karstula","Kaikki majoitusliikkeet",.
"Karvia","Kaikki majoitusliikkeet",.
"Kaskinen","Kaikki majoitusliikkeet",.
"Kauhajoki","Kaikki majoitusliikkeet",169
"Kauhava","Kaikki majoitusliikkeet",774
"Kauniainen","Kaikki majoitusliikkeet",.
"Kaustinen","Kaikki majoitusliikkeet",149
"Keitele","Kaikki majoitusliikkeet",.
"Kemi","Kaikki majoitusliikkeet",747
"Kemijärvi","Kaikki majoitusliikkeet",782
"Keminmaa","Kaikki majoitusliikkeet",.
"Kemiönsaari","Kaikki majoitusliikkeet",408
"Kempele","Kaikki majoitusliikkeet",366
"Kerava","Kaikki majoitusliikkeet",.
"Keuruu","Kaikki majoitusliikkeet",491
"Kihniö","Kaikki majoitusliikkeet",.
"Kinnula","Kaikki majoitusliikkeet",.
"Kirkkonummi","Kaikki majoitusliikkeet",426
"Kitee","Kaikki majoitusliikkeet",339
"Kittilä","Kaikki majoitusliikkeet",4277
"Kiuruvesi","Kaikki majoitusliikkeet",.
"Kivijärvi","Kaikki majoitusliikkeet",.
"Kokemäki","Kaikki majoitusliikkeet",135
"Kokkola","Kaikki majoitusliikkeet",779
"Kolari","Kaikki majoitusliikkeet",4052
"Konnevesi","Kaikki majoitusliikkeet",.
"Kontiolahti","Kaikki majoitusliikkeet",159
"Kotka","Kaikki majoitusliikkeet",1221
"Kouvola","Kaikki majoitusliikkeet",1287
"Kristiinankaupunki","Kaikki majoitusliikkeet",179
"Kruunupyy","Kaikki majoitusliikkeet",.
"Kuhmo","Kaikki majoitusliikkeet",289
"Kuhmoinen","Kaikki majoitusliikkeet",.
"Kumlinge","Kaikki majoitusliikkeet",.
"Kuopio","Kaikki majoitusliikkeet",4287
"Kuortane","Kaikki majoitusliikkeet",.
"Kurikka","Kaikki majoitusliikkeet",318
"Kustavi","Kaikki majoitusliikkeet",.
"Kuusamo","Kaikki majoitusliikkeet",5943
"Kyyjärvi","Kaikki majoitusliikkeet",.
"Kärkölä","Kaikki majoitusliikkeet",.
"Kärsämäki","Kaikki majoitusliikkeet",.
"Kökar","Kaikki majoitusliikkeet",285
"Lahti","Kaikki majoitusliikkeet",1804
"Laihia","Kaikki majoitusliikkeet",.
"Laitila","Kaikki majoitusliikkeet",.
"Lapinjärvi","Kaikki majoitusliikkeet",.
"Lapinlahti","Kaikki majoitusliikkeet",.
"Lappajärvi","Kaikki majoitusliikkeet",.
"Lappeenranta","Kaikki majoitusliikkeet",3585
"Lapua","Kaikki majoitusliikkeet",314
"Laukaa","Kaikki majoitusliikkeet",.
"Lemi","Kaikki majoitusliikkeet",.
"Lemland","Kaikki majoitusliikkeet",.
"Lempäälä","Kaikki majoitusliikkeet",208
"Leppävirta","Kaikki majoitusliikkeet",493
"Lestijärvi","Kaikki majoitusliikkeet",.
"Lieksa","Kaikki majoitusliikkeet",1339
"Lieto","Kaikki majoitusliikkeet",89
"Liminka","Kaikki majoitusliikkeet",.
"Liperi","Kaikki majoitusliikkeet",.
"Lohja","Kaikki majoitusliikkeet",1137
